track_id,frame_number,crop_path,crop_width,crop_height,baseline_raw_response,baseline_parsed_body_type,baseline_valid,prompt_a_raw_response,prompt_a_parsed_body_type,prompt_a_valid,prompt_b_raw_response,prompt_b_parsed_body_type,prompt_b_valid,prompt_c_raw_response,prompt_c_parsed_body_type,prompt_c_valid,caption_raw_response,caption_parsed_body_type,caption_valid,ground_truth_body_type,baseline_correct,prompt_a_correct,prompt_b_correct,prompt_c_correct,caption_correct,notes
CAM_001:TRACK_21,60,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_21\frame_000060_MIDDLE.jpg,81,84,car,UNKNOWN,False,unanswerable,UNKNOWN,False,yes,UNKNOWN,False,unanswerable,UNKNOWN,False,a parking lot.,UNKNOWN,False,,,,,,,
CAM_001:TRACK_21,64,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_21\frame_000064_LAST.jpg,83,87,car,UNKNOWN,False,unanswerable,UNKNOWN,False,yes,UNKNOWN,False,unanswerable,UNKNOWN,False,a parking lot.,UNKNOWN,False,,,,,,,
CAM_001:TRACK_4,69,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_4\frame_000069_RAW_TRACK_CROP.jpg,360,267,hyundai,UNKNOWN,False,hyundai,UNKNOWN,False,"Look at the closest body style:
sedan
hatchback
suv
mpv",SUV,True,qA,UNKNOWN,False,side of the road.,UNKNOWN,False,,,,,,,
CAM_001:TRACK_4,66,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_4\frame_000066_RAW_TRACK_CROP.jpg,343,293,hyundai,UNKNOWN,False,hyundai,UNKNOWN,False,"Look at the closest body style:
sedan
hatchback
suv
mpv",SUV,True,unanswerable,UNKNOWN,False,the street.,UNKNOWN,False,,,,,,,
CAM_001:TRACK_4,27,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_4\frame_000027_RAW_TRACK_CROP.jpg,189,159,hyundai,UNKNOWN,False,hyundai,UNKNOWN,False,yes,UNKNOWN,False,qAWhich body style best describes this car,UNKNOWN,False,a parking lot.,UNKNOWN,False,,,,,,,
CAM_001:TRACK_6,54,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_6\frame_000054_RAW_TRACK_CROP.jpg,170,179,unanswerable,UNKNOWN,False,unanswerable,UNKNOWN,False,no,UNKNOWN,False,unanswerable,UNKNOWN,False,the street.,UNKNOWN,False,,,,,,,
CAM_001:TRACK_6,51,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_6\frame_000051_RAW_TRACK_CROP.jpg,163,174,unanswerable,UNKNOWN,False,unanswerable,UNKNOWN,False,no,UNKNOWN,False,unanswerable,UNKNOWN,False,the street.,UNKNOWN,False,,,,,,,
CAM_001:TRACK_6,57,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_6\frame_000057_RAW_TRACK_CROP.jpg,180,191,honda,UNKNOWN,False,unanswerable,UNKNOWN,False,no,UNKNOWN,False,unanswerable,UNKNOWN,False,the street.,UNKNOWN,False,,,,,,,
CAM_001:TRACK_11,60,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_11\frame_000060_RAW_TRACK_CROP.jpg,186,158,suv,SUV,True,suv,SUV,True,"Look at the closest body style:
sedan
hatchback
suv
mpv",SUV,True,unanswerable,UNKNOWN,False,a street next to another suv.,UNKNOWN,False,,,,,,,
CAM_001:TRACK_11,63,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_11\frame_000063_RAW_TRACK_CROP.jpg,189,160,suv,SUV,True,suv,SUV,True,"Look at the closest body style:
sedan
hatchback
suv
mpv",SUV,True,unanswerable,UNKNOWN,False,down the street.,UNKNOWN,False,,,,,,,
CAM_001:TRACK_11,66,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_11\frame_000066_RAW_TRACK_CROP.jpg,200,167,suv,SUV,True,suv,SUV,True,"Look at the closest body style:
sedan
hatchback
suv
mpv",SUV,True,unanswerable,UNKNOWN,False,down the street.,UNKNOWN,False,,,,,,,
CAM_001:TRACK_7,44,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_7\frame_000044_LAST.jpg,111,109,qA,UNKNOWN,False,unanswerable,UNKNOWN,False,no,UNKNOWN,False,unanswerable,UNKNOWN,False,the street.,UNKNOWN,False,,,,,,,
CAM_001:TRACK_7,5,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_7\frame_000005_SHARPEST.jpg,86,90,audi,UNKNOWN,False,audi,UNKNOWN,False,no,UNKNOWN,False,sedan,SEDAN,True,a parking lot.,UNKNOWN,False,,,,,,,
CAM_001:TRACK_7,7,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_7\frame_000007_MIDDLE.jpg,89,92,car,UNKNOWN,False,unanswerable,UNKNOWN,False,no,UNKNOWN,False,unanswerable,UNKNOWN,False,a parking lot.,UNKNOWN,False,,,,,,,
CAM_001:TRACK_23,114,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_23\frame_000114_RAW_TRACK_CROP.jpg,165,206,no,UNKNOWN,False,unanswerable,UNKNOWN,False,no,UNKNOWN,False,unanswerable,UNKNOWN,False,a street next to a truck.,UNKNOWN,False,,,,,,,
CAM_001:TRACK_23,117,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_23\frame_000117_RAW_TRACK_CROP.jpg,169,208,yes,UNKNOWN,False,unanswerable,UNKNOWN,False,no,UNKNOWN,False,unanswerable,UNKNOWN,False,a street next to a white truck.,UNKNOWN,False,,,,,,,
CAM_001:TRACK_23,123,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_23\frame_000123_RAW_TRACK_CROP.jpg,175,222,yes,UNKNOWN,False,unanswerable,UNKNOWN,False,no,UNKNOWN,False,unanswerable,UNKNOWN,False,a street next to a white truck.,UNKNOWN,False,,,,,,,
CAM_001:TRACK_41,156,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_41\frame_000156_RAW_TRACK_CROP.jpg,205,208,qA,UNKNOWN,False,unanswerable,UNKNOWN,False,no,UNKNOWN,False,unanswerable,UNKNOWN,False,to a red car.,UNKNOWN,False,,,,,,,
CAM_001:TRACK_41,159,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_41\frame_000159_RAW_TRACK_CROP.jpg,208,220,qA,UNKNOWN,False,unanswerable,UNKNOWN,False,no,UNKNOWN,False,unanswerable,UNKNOWN,False,front of a red car.,UNKNOWN,False,,,,,,,
CAM_001:TRACK_41,162,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_41\frame_000162_RAW_TRACK_CROP.jpg,215,236,qA,UNKNOWN,False,unanswerable,UNKNOWN,False,"Look at the closest body style:
sedan
hatchback
suv
mpv",SUV,True,unanswerable,UNKNOWN,False,front of a red car.,UNKNOWN,False,,,,,,,
