track_id,frame_number,crop_path,crop_width,crop_height,old_prompt_raw_response,old_prompt_parsed_body_type,old_prompt_valid,new_prompt_raw_response,new_prompt_parsed_body_type,new_prompt_valid,ground_truth_body_type,old_prompt_correct,new_prompt_correct,notes
CAM_001:TRACK_4,66,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_4\frame_000066_RAW_TRACK_CROP.jpg,343,293,hyundai,UNKNOWN,False,no,UNKNOWN,False,,,,
CAM_001:TRACK_4,27,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_4\frame_000027_RAW_TRACK_CROP.jpg,189,159,hyundai,UNKNOWN,False,no,UNKNOWN,False,,,,
CAM_001:TRACK_6,54,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_6\frame_000054_RAW_TRACK_CROP.jpg,170,179,unanswerable,UNKNOWN,False,no,UNKNOWN,False,,,,
CAM_001:TRACK_6,51,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_6\frame_000051_RAW_TRACK_CROP.jpg,163,174,unanswerable,UNKNOWN,False,no,UNKNOWN,False,,,,
CAM_001:TRACK_6,57,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_6\frame_000057_RAW_TRACK_CROP.jpg,180,191,honda,UNKNOWN,False,no,UNKNOWN,False,,,,
CAM_001:TRACK_11,60,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_11\frame_000060_RAW_TRACK_CROP.jpg,186,158,suv,SUV,True,no,UNKNOWN,False,,,,
CAM_001:TRACK_11,63,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_11\frame_000063_RAW_TRACK_CROP.jpg,189,160,suv,SUV,True,no,UNKNOWN,False,,,,
CAM_001:TRACK_11,66,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_11\frame_000066_RAW_TRACK_CROP.jpg,200,167,suv,SUV,True,no,UNKNOWN,False,,,,
CAM_001:TRACK_7,44,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_7\frame_000044_LAST.jpg,111,109,qA,UNKNOWN,False,no,UNKNOWN,False,,,,
CAM_001:TRACK_7,5,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_7\frame_000005_SHARPEST.jpg,86,90,audi,UNKNOWN,False,no,UNKNOWN,False,,,,
CAM_001:TRACK_7,7,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_7\frame_000007_MIDDLE.jpg,89,92,car,UNKNOWN,False,no,UNKNOWN,False,,,,
CAM_001:TRACK_23,114,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_23\frame_000114_RAW_TRACK_CROP.jpg,165,206,no,UNKNOWN,False,no,UNKNOWN,False,,,,
CAM_001:TRACK_23,117,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_23\frame_000117_RAW_TRACK_CROP.jpg,169,208,yes,UNKNOWN,False,no,UNKNOWN,False,,,,
CAM_001:TRACK_23,123,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_23\frame_000123_RAW_TRACK_CROP.jpg,175,222,yes,UNKNOWN,False,no,UNKNOWN,False,,,,
CAM_001:TRACK_41,156,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_41\frame_000156_RAW_TRACK_CROP.jpg,205,208,qA,UNKNOWN,False,no,UNKNOWN,False,,,,
CAM_001:TRACK_41,159,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_41\frame_000159_RAW_TRACK_CROP.jpg,208,220,qA,UNKNOWN,False,no,UNKNOWN,False,,,,
CAM_001:TRACK_41,162,D:\project\multi-camera-vehicle-tracking\outputs\runs\20260807_142606\05_florence_selected_crops\CAM_001\TRACK_41\frame_000162_RAW_TRACK_CROP.jpg,215,236,qA,UNKNOWN,False,no,UNKNOWN,False,,,,
